Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,LLM_Decision,LLM_Reason,LLM_Decision,LLM_Reason
0.962,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2181,주일 미사 의무,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,미사 불참은 죄가 되지 않는다,NO,"A는 인간 존엄(살인자라도 존엄 유지)을, B는 미사 불참 무죄론을 단죄하는 것으로 주제 자체가 무관하며 명제가 겹치지 않는다.",NO,"A는 인간 존엄(살인자라도 존엄 유지)을, B는 미사 불참 무죄론을 단죄하는 것으로 주제 자체가 무관하며 명제가 겹치지 않는다."
0.947,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S22-C01,미사는 참된 속죄 제사,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,미사에 속죄적 가치가 없다는 명제,NO,"A는 인격적 존엄에 관한 주장이고 B는 미사의 속죄적 가치 부정을 단죄하는 것으로, 서로 다른 신학 영역이라 충돌하지 않는다.",NO,"A는 인격적 존엄에 관한 주장이고 B는 미사의 속죄적 가치 부정을 단죄하는 것으로, 서로 다른 신학 영역이라 충돌하지 않는다."
0.947,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S22-C01,미사는 참된 속죄 제사,소죄를 고백하는 것도 허용되며 유익하다,미사에 속죄적 가치가 없다는 명제,NO,"A는 소죄 고백의 유익함을 긍정하는 것이고 B는 미사의 속죄적 가치를 부정하는 명제를 단죄하는 것으로, 두 명제가 동일하지 않다.",NO,"A는 소죄 고백의 유익함을 긍정하는 것이고 B는 미사의 속죄적 가치를 부정하는 명제를 단죄하는 것으로, 두 명제가 동일하지 않다."
0.94,5,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),"축성(consecration) 후 빵의 실체는 그리스도의 몸의 실체로, 포도주의 실체는 그리스도의 피의 실체로 변환된다 (화체설, Transubstantiatio)","축성 후에도 빵과 포도주의 실체가 그리스도의 몸과 피와 함께 공존한다는 명제 (공재설, Consubstantiation)",NO,"A(화체설 긍정)와 B가 단죄하는 공재설은 서로 반대되는 명제이므로, A의 주장이 B가 단죄하는 바로 그 명제와 동일하지 않다 — 오히려 트리엔트 공의회가 화체설을 정의하며 그 반대 입장(공재설)을 함께 배격하는 것으로 내적으로 일관된다.",NO,"A(화체설 긍정)와 B가 단죄하는 공재설은 서로 반대되는 명제이므로, A의 주장이 B가 단죄하는 바로 그 명제와 동일하지 않다 — 오히려 트리엔트 공의회가 화체설을 정의하며 그 반대 입장(공재설)을 함께 배격하는 것으로 내적으로 일관된다."
0.939,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2010,공로 (Meritum),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,선행은 구원에 아무런 기여도 하지 않는다,NO,A는 인격 존엄에 관한 것이고 B는 선행의 구원 기여 부정을 단죄하는 것으로 서로 무관한 주제다.,NO,A는 인격 존엄에 관한 것이고 B는 선행의 구원 기여 부정을 단죄하는 것으로 서로 무관한 주제다.
0.936,,CCC-1996,은총은 무상의 선물,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,NO,"A는 은총의 본질(하느님 생명 참여)을 정의하는 반면, B가 단죄하는 것은 세례와 믿음의 관계이므로 서로 다른 신학적 주제입니다.",NO,"A는 은총의 본질(하느님 생명 참여)을 정의하는 반면, B가 단죄하는 것은 세례와 믿음의 관계이므로 서로 다른 신학적 주제입니다."
0.935,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,죄책이 사해지면 어떤 형벌도 전혀 남지 않는다는 명제,NO,"A는 인격 존엄, B는 죄책 사함 후 잔여 형벌 부재론을 단죄하는 것으로 명제가 겹치지 않는다.",NO,"A는 인격 존엄, B는 죄책 사함 후 잔여 형벌 부재론을 단죄하는 것으로 명제가 겹치지 않는다."
0.934,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-0847,교회 밖 구원 가능성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,복음을 듣지 못한 자는 모두 저주받는다,NO,"A는 인격 존엄, B는 복음 미청취자 전원 저주론을 단죄하는 것으로 서로 다른 주제이며 충돌하지 않는다.",NO,"A는 인격 존엄, B는 복음 미청취자 전원 저주론을 단죄하는 것으로 서로 다른 주제이며 충돌하지 않는다."
0.932,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,의화된 자의 선한 행위에 공로가 없다는 명제,NO,"A는 인격 존엄, B는 의화자의 선행 무공로론을 단죄하는 것으로 명제가 동일하지 않다.",NO,"A는 인격 존엄, B는 의화자의 선행 무공로론을 단죄하는 것으로 명제가 동일하지 않다."
0.932,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,NO,"A는 인격 존엄, B는 대죄 낱낱 고백 의무 부재론을 단죄하는 것으로 서로 무관한 명제다.",NO,"A는 인격 존엄, B는 대죄 낱낱 고백 의무 부재론을 단죄하는 것으로 서로 무관한 명제다."
